imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification,releaseyear,month,day
tt12695338,0.0,/7XR1J9zW993pdWLwXXyfsJY8fGR.jpg,,0.0,"[{'id': 27, 'name': 'Horror'}]",,783061.0,en,All American Massacre,"Incarcerated for over twenty-four years in solitary at a Texas State Psychiatric Hospital, one of the most notorious serial killers of the past century, Chop Top Sawyer, is interviewed by a tabloid news crew. Recalling fond memories of happier times, we flashback to the '70s and get a ""taste"" of life during one fateful evening for four youths encountering his hospitality as we join him for an over-the-top killing spree. As the interview winds to a close the crew get more than they bargained for as they experience what is to be the last in a long line of these all american massacres.",2.059,/awChGrrNgD6XcYU8nZUVhjvXvdI.jpg,"[{'id': 194569, 'logo_path': None, 'name': 'Phosphor Films', 'origin_country': ''}, {'id': 194570, 'logo_path': None, 'name': 'Serial Filmakers Inc', 'origin_country': ''}, {'id': 194571, 'logo_path': None, 'name': 'Abominable Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-01-01,0.0,60.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,No One Will Survive,All American Massacre,0.0,0.0,0.0,NR,2000,1,1
tt8795764,0.0,,,0.0,"[{'id': 27, 'name': 'Horror'}]",https://www.utahwolf.com/films/coming-soon-new-breed,871624.0,en,New Breed,"Derek gets sucked into a gothic cult that turns out to be vampires. As a vampire now, he must figure out who he is and what side he serves. In the end will he be good or bad?",0.6000000000000001,/goddglRmgDgQuo9tlMdoeeHlRfX.jpg,"[{'id': 133614, 'logo_path': None, 'name': 'Wolf Productions UT', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-01-01,0.0,57.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,New Breed,0.0,0.0,0.0,NR,2001,1,1
tt1485691,0.0,,,0.0,"[{'id': 27, 'name': 'Horror'}]",,406849.0,en,Charm,"Underground filmmakers Sarah Reed and Sadie Shaw make their feature-length debut with this brooding horror flick. Frustrated by the apathy all around her, a discontented young woman named Rosie lashes out with increasing violence in order to provoke a reaction from the deadness in her world. Using surreal imagery, this visually compelling film also explores the themes of alienation, isolation and the destructive nature of relationships.",0.6000000000000001,,[],[],2002-01-25,0.0,70.0,[],Released,,Charm,0.0,0.0,0.0,NR,2002,1,25
tt1513854,0.0,/3r56SV6WjnKIx7uUUWeXZN23n4p.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",,1175791.0,en,"Peter Meadowdale: Big Crimes, Big City, Short Detective","It is one week since Meadowdale's run-in with The Chartreuse Men, and he is broke. Just when it seems all hope is lost, salvation enters his office in the form of one Miss Victoria Urstaring. Now, Meadowdale is back on his feet and after the missing case of bourbon and the mysterious ""Malted Eagle"" statue. The Detective is lead down a ""string"" of paths, and in the process, is framed for murder! It's a case only our hero can solve...or rather, stumble upon and in the end, Cupid's arrow is more involved than Meadowdale is prepared for.",0.6000000000000001,/2LNsEE2BwhhojMahoGvk7kF9ujc.jpg,"[{'id': 208173, 'logo_path': None, 'name': 'Livestock Productions', 'origin_country': ''}]",[],2002-05-31,0.0,47.0,[],Released,Enter a world where crime doesn't pay......until you cash in the check.,"Peter Meadowdale: Big Crimes, Big City, Short Detective",0.0,0.0,0.0,NR,2002,5,31
tt1133935,0.0,/rJmjov1cDGoWvyrzNPMxmME5gE9.jpg,"{'id': 39199, 'name': 'Detective Conan Collection', 'poster_path': '/bV6EHK0Q65hHKSoVDeACbc960jQ.jpg', 'backdrop_path': '/mwz7lYimh8da0zZHOI41xNd86yH.jpg'}",0.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 16, 'name': 'Animation'}]",https://www.tms-e.co.jp/global/alltitles/conan/087307.html,39202.0,ja,名探偵コナン 迷宮の十字路,"Mouri Kogoro is called to a special case in the ancient capital of Kyoto. There, Conan meets Heiji and they team up once again to solve the case, recover the stolen Healing Buddha statue, and even discover the identity of Heiji's first love.",14.044,/lzPnHHhYWSMGwBLTDCIT6sgehF5.jpg,"[{'id': 7164, 'logo_path': '/vHsaqTkQ2ZTbdqrCA272YahoVlg.png', 'name': 'TMS Entertainment', 'origin_country': 'JP'}, {'id': 882, 'logo_path': '/iDw9Xxok1d9WAM2zFicI8p3khTH.png', 'name': 'TOHO', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2003-04-19,0.0,110.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Detective Conan: Crossroad in the Ancient Capital,0.0,7.034,132.0,PG-13,2003,4,19
tt28248281,0.0,/d1dljyoquOX31ZwhkKis82CLviQ.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,601549.0,en,Don of All Dons,"Luther Campbell takes the starring role as himself in this hilarious and star-studded peek into Uncle Luke's Freakfest Weekend that stars such popular celebrities as Doug E. Fresh, Lawrence Taylor, Don ""Magic"" Juan, and Wu-Tang Clan. Just as Don ""Magic"" Juan is kicking back to enjoy the freak show, he realizes that three computer-savvy players have hacked his credit card and embarked on a wild spending spree. Meanwhile, back at the Freakfest, three young women are trying to live it up like never before.",1.377,/fPY725MnXVdx3YaB1YiFY5ObwN3.jpg,"[{'id': 31440, 'logo_path': None, 'name': 'Urban Works', 'origin_country': ''}, {'id': 118227, 'logo_path': None, 'name': 'Luke Film Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-01-01,0.0,75.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The Ultimate Players Ball,Don of All Dons,0.0,0.0,0.0,NR,2003,1,1
tt1133559,0.0,/sBMiFUK9lsHTNJaQHE7kgHOOiLT.jpg,"{'id': 39199, 'name': 'Detective Conan Collection', 'poster_path': '/bV6EHK0Q65hHKSoVDeACbc960jQ.jpg', 'backdrop_path': '/mwz7lYimh8da0zZHOI41xNd86yH.jpg'}",0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 9648, 'name': 'Mystery'}]",https://www.tms-e.co.jp/global/alltitles/conan/087308.html,39203.0,ja,名探偵コナン 銀翼の奇術師,"Once again, Kaitou Kid crosses swords with Conan Edogawa in this annual installment of the Detective Conan movie franchise. After receiving a letter from the thief, famous actress Juri Maki seeks the help of private detective Kogorou Mouri to protect the Star Sapphire—the ""Jewel of Destiny,"" said to represent faith, fate, and hope.",17.0,/bozQR8pgW43WFI4VpV9vCgyXlDq.jpg,"[{'id': 7164, 'logo_path': '/vHsaqTkQ2ZTbdqrCA272YahoVlg.png', 'name': 'TMS Entertainment', 'origin_country': 'JP'}, {'id': 882, 'logo_path': '/iDw9Xxok1d9WAM2zFicI8p3khTH.png', 'name': 'TOHO', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2004-04-17,0.0,110.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Detective Conan: Magician of the Silver Sky,0.0,7.0,126.0,PG-13,2004,4,17
tt13989376,0.0,,,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 35, 'name': 'Comedy'}]",,286401.0,en,Going to Hell: The Movie,"The little man and his crew take the classic formula of skate, fun and filth to new levels of demented chaos. Add in a priest with a penchant for porn, escaped convicts, cracked skating, nude mud wrestling, prolific quantities of poo and a mentally deranged human torpedo and you'll understand why there's no doubt that Wee Man and his crew are going straight to hell. The extreme begins here.",1.383,/bkI0HXNk7vmg9QCx5XzGfNcbI1Z.jpg,"[{'id': 3086, 'logo_path': '/iksa7hXQMvPIzfSq0Tuo4WPU8gc.png', 'name': 'Image Entertainment', 'origin_country': 'US'}]",[],2004-06-15,0.0,51.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Going to Hell: The Movie,0.0,2.0,1.0,NR,2004,6,15
tt2663788,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,498584.0,en,Decision To Ask Why,"The lives and personalities of several college students are explored as they struggle with issues of sex, identity, stereotyping, the pressures of media influence on body image, and other harsh realities of young adulthood.",0.6000000000000001,,[],[],2004-04-25,0.0,114.0,[],Released,Everyone's Life Is As Complicated As Yours,Decision To Ask Why,0.0,0.0,0.0,NR,2004,4,25
tt5914346,0.0,,,0.0,[],,940402.0,en,Forbidden Lust,,1.228,/kuIboG7JogAVtxW4MkKiMCcnbit.jpg,"[{'id': 83589, 'logo_path': None, 'name': 'Torchlight Pictures', 'origin_country': 'US'}]",[],2004-01-01,0.0,81.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,You Cannot Resist,Forbidden Lust,0.0,8.0,1.0,NR,2004,1,1
tt7521848,0.0,/zuLttZUxFbpCzpSDgVS3icBN7zR.jpg,,50000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",http://www.tellyvizion.com/video/325,481717.0,en,Solomon's Requiem,An unemployed man and his dog contend with a demonic cult and a plague of zombies.,0.6000000000000001,/keNJTcL1Hs49HzYp50sLYA9Z7mN.jpg,"[{'id': 96162, 'logo_path': None, 'name': 'Damn Smooth Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-10-16,0.0,95.0,[],Released,,Solomon's Requiem,0.0,0.0,0.0,R,2017,10,16
