imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
tt1147513,0.0,/1RstTvpA9FEtPGhzxOHbroW6Nur.jpg,"{'id': 148065, 'name': 'Doraemon Collection', 'poster_path': '/4TLSP1KD1uAlp2q1rTrc6SFlktX.jpg', 'backdrop_path': '/rc6OFcSasL5YxBRPUQVwxmVF6h5.jpg'}",0.0,"[{'id': 16, 'name': 'Animation'}]",,31352.0,ja,映画ドラえもん のび太の太陽王伝説,"Doraemon and its friends open a hole in the time and they're travel to the Country of Mayana, a lost Mayan civilization in the jungle. There, Nobita will know its perfect double, prince Thio, heir to the throne. Both will decide to interchange papers to try to save to the Country of Mayana of the claws of the infernal Ledina witch and her evil forces.",10.251,/5j3ph4Jvtf87ChHzSnmZt2iImCP.jpg,"[{'id': 5141, 'logo_path': '/fK2QKfHdSdw42Xx4MiD7KhDufBV.png', 'name': 'Shin-Ei Animation', 'origin_country': 'JP'}, {'id': 9149, 'logo_path': '/isLUpud9N56ifftJZ4XvzwBBpoG.png', 'name': 'Shogakukan', 'origin_country': 'JP'}, {'id': 9300, 'logo_path': '/9sSD1XufVCJWAadNiC9Mwu994VD.png', 'name': 'TV Asahi', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2000-03-04,0.0,93.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Doraemon: Nobita's the Legend of the Sun King,0.0,7.3,47.0,
tt12695338,0.0,/7XR1J9zW993pdWLwXXyfsJY8fGR.jpg,,0.0,"[{'id': 27, 'name': 'Horror'}]",,783061.0,en,All American Massacre,"Incarcerated for over twenty-four years in solitary at a Texas State Psychiatric Hospital, one of the most notorious serial killers of the past century, Chop Top Sawyer, is interviewed by a tabloid news crew. Recalling fond memories of happier times, we flashback to the '70s and get a ""taste"" of life during one fateful evening for four youths encountering his hospitality as we join him for an over-the-top killing spree. As the interview winds to a close the crew get more than they bargained for as they experience what is to be the last in a long line of these all american massacres.",2.059,/awChGrrNgD6XcYU8nZUVhjvXvdI.jpg,"[{'id': 194569, 'logo_path': None, 'name': 'Phosphor Films', 'origin_country': ''}, {'id': 194570, 'logo_path': None, 'name': 'Serial Filmakers Inc', 'origin_country': ''}, {'id': 194571, 'logo_path': None, 'name': 'Abominable Entertainment', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-01-01,0.0,60.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,No One Will Survive,All American Massacre,0.0,0.0,0.0,NR
tt1315895,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,1147075.0,ru,Сиреневые сумерки,"By the will of fate, 17-year-old Roman becomes a patient of an old private clinic located on the seashore. While waiting for a complicated operation, he meets a mysterious Professor and a beautiful but unpredictable nurse Anna, not realizing that now his life will depend entirely on their desires and actions.",0.6000000000000001,/wmOl11UtuV27RrBMvCoMcPyq4Bp.jpg,[],"[{'iso_3166_1': 'RU', 'name': 'Russia'}]",2000-07-14,0.0,98.0,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Lilac Twilight,0.0,0.0,0.0,
tt13964346,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,991905.0,cn,萬劍之王,,0.6000000000000001,,[],[],1963-01-29,0.0,0.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,The King of Swords,0.0,8.0,1.0,
tt14438542,0.0,,,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",,1117174.0,ja,トワイライトシンドローム〜卒業〜,"In a private school built 70 years ago in wooded areas, tragic events begin to occur. Seemingly innocent occult play by a few girls turns into a bloody fight with mystical forces.",2.653,/5gF7YD1sji3t5kkBBbAG1S3fB1R.jpg,"[{'id': 36342, 'logo_path': '/3xYrMZn6SrupK4R83EUgNPjzqj4.png', 'name': 'Sammy', 'origin_country': 'JP'}, {'id': 157799, 'logo_path': None, 'name': 'Spike K.K.', 'origin_country': ''}, {'id': 15330, 'logo_path': None, 'name': 'Tsuburaya Eizo', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2000-09-23,0.0,83.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Twilight Syndrome: Graduation,0.0,0.0,0.0,
tt14739558,0.0,,,0.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",,1099101.0,cn,屍前想後,,1.208,/d5cQVHiFEhXbu1T2Xz3Td9L5gyP.jpg,[],"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]",2000-01-01,0.0,84.0,"[{'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,,Long Way from Home,0.0,0.0,0.0,
tt1632588,0.0,/jmIfhmNjRgl0kBdim9vtZweDb3k.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}]",,159190.0,ja,ピンチランナー,"Minugishi Ayumi (Abe) is a student of Asahina High School, and the lone member of its Track and Field club. She seems hard to speak to, and despite being a good, quiet student, not many people care to know much about her. One day, a fire breaks out in the place that houses all the track and field supplies, and Ayumi is unable to get out. An aspiring member of the club, Hasegawa Sanae, cries out for someone to save her, but Ayumi cannot remember the face of whomever it was who took her out of the fire.  The events that follow the fire unknowingly change Ayumi's solitary life, and she will find herself leading Sanae, Michiko, Tomoko, Maho, Reiko and Ikue into a race where the goal is much more than just getting past the line in first place.",0.736,/d8DKsw58BCpQTqvQKm3PHWa1sh1.jpg,[],"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2000-05-20,0.0,107.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Pinch Runner,0.0,4.0,2.0,
tt1831837,0.0,/sPtSYAHJhiepuIXqoKrV8lnWX3d.jpg,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",,720041.0,ru,Звериные войны,"In a galaxy far, far away, a tiny planet is ravaged by a long war between two animal tribes: Biters and Slashers. Both tribes decide to settle their dispute by playing the Game of Animal Football. You are in for a treat if you like major hits, unnecessary roughness, and illegal use of claws and other body parts.",1.4,/p3B2nuyuBAq76ERWWrPpQHfkDLS.jpg,"[{'id': 188988, 'logo_path': None, 'name': 'Odesa Animation Studio', 'origin_country': 'UA'}]","[{'iso_3166_1': 'UA', 'name': 'Ukraine'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-01-01,0.0,73.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,The First and Only Animated Lampoon on Football,Animal Wars,0.0,5.0,1.0,
tt1934227,0.0,/hj4mKOMshY9rYcJWrUtcut75cQC.jpg,,0.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,610574.0,fa,دست‌های آلوده,Diba and Siamak with the help of a young couple Nader and Roya decide to steal from a wedding ceremony. They steal some jewelry and escape but the cops are after them.,0.6000000000000001,/yWVpXFxL3SPj5P9cTaihrId1ipW.jpg,[],[],2000-02-01,0.0,99.0,"[{'english_name': 'Persian', 'iso_639_1': 'fa', 'name': 'فارسی'}]",Released,,Corrupt Hands,0.0,0.0,0.0,
tt2131677,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,626058.0,ja,月,"A humanity drama set in Asakusa. Natsumi, a third-year high school student, moved to Tokyo when his grandmother died. Haruka, the flower-shaped stripper who is the mother, cannot hide the dreadfulness from the sudden appearance of her daughter. Living together is always addicted, Natsumi refuses her mother. On the other hand, Haruka is faced with a lover's debt problem.",1.22,/dwWSWwQV4wTR8e0Ty9ROsq27Yed.jpg,[],"[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2000-07-08,0.0,113.0,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,The Moon,0.0,0.0,0.0,
